60.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
61.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
62.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
63.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
64.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
65.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
66.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
67.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
68.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
69.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
70.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
71.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
72.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
73.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
74.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
75.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
76.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
77.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
78.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
79.0 (28.8786,33.6608,5.0000) (30.0000,32.0000,5.0000) (30.0000,30.0000,5.0000)
